id,star_rating,name,description,brand,address.addr1,address.city,address.region,address.country,address.postal_code,latitude,longitude,neighborhood[0],base_price,image[0].url,url
GR_218111,5,BOUTIQUE 5 HOTEL & SPA,BOUTIQUE 5 HOTEL & SPA,BOUTIQUE 5 HOTEL & SPA,Rhodos-Lindos,Rhodos-Lindos,Rhodos-Lindos,Kreeka,00000,39.0,22.0,Rhodos-Lindos,2174 EUR,https://img.tezapi.eu/hotel/7000169/h-hotels-collection-boutique-5-gallery-the-hotel-6_1696_middle.jpg,https://www.teztour.ee/tours/dc9640c32d81586030fc617d97e2401f/cityId/3746/countryId/7067498/adults/2/hotel/218111/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_239323,3,XIDAS GARDEN CHARM HOTEL,XIDAS GARDEN CHARM HOTEL,XIDAS GARDEN CHARM HOTEL,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,779 EUR,https://img.tezapi.eu/hotel/7013960/IMG_7132_9365_middle.jpg,https://www.teztour.ee/tours/33ab410b8b34e68a0507116b5b3e679e/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/239323/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_239711,4,ZEUS HOTELS NEPTUNO BEACH,ZEUS HOTELS NEPTUNO BEACH,ZEUS HOTELS NEPTUNO BEACH,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,629 EUR,https://img.tezapi.eu/hotel/7013940/Pool__2__847_middle.jpg,https://www.teztour.ee/tours/a998f4118a64db4c688f47c68bdbdbf1/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/239711/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/4/maxNights/7/currencyId/18864.et.html
GR_239717,4,SOL BY MELIA COSMOPOLITAN RHODES,SOL BY MELIA COSMOPOLITAN RHODES,SOL BY MELIA COSMOPOLITAN RHODES,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Kreeka,00000,39.0,22.0,Rhodos-Ialysos/Rhodos,596 EUR,https://img.tezapi.eu/hotel/7014761/SOL_COSMOPOLITAN_MAIN_POOL__1__2724_459F27501D090E09D6858A2B67AED8D9_1090_middle.jpg,https://www.teztour.ee/tours/6b272d6c2ab8201a8f6d64cbc50092a7/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/239717/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/3/maxNights/6/currencyId/18864.et.html
GR_240644,4,MAY HOTEL,MAY HOTEL,MAY HOTEL,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,784 EUR,https://img.tezapi.eu/hotel/7013961/03_9985_middle.jpg,https://www.teztour.ee/tours/7868c938db032ab8ae5a95510b3d9699/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/240644/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_242558,5,APOLLO BLUE,APOLLO BLUE,APOLLO BLUE,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Kreeka,00000,39.0,22.0,Rhodos-Kallithea/Faliraki,1146 EUR,https://img.tezapi.eu/hotel/7014800/01_sentido_apollo_blue_1339_1348_middle.jpg,https://www.teztour.ee/tours/ba3688b8dba999bb7a93fb3ced404f69/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/242558/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_242956,5,MEDITERRANEAN HOTEL RHODES,MEDITERRANEAN HOTEL RHODES,MEDITERRANEAN HOTEL RHODES,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Kreeka,00000,39.0,22.0,Rhodos-Ialysos/Rhodos,962 EUR,https://img.tezapi.eu/hotel/7014762/Hotel_Location_02_6943_middle.jpg,https://www.teztour.ee/tours/0267f494d912d32de4a93a6642bda435/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/242956/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_243590,5,CARAMEL A GRECOTEL RESORT TO LIVE,CARAMEL A GRECOTEL RESORT TO LIVE,CARAMEL A GRECOTEL RESORT TO LIVE,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,1321 EUR,https://img.tezapi.eu/hotel/7016203/001-A-exterior_90144584_2611_middle.jpg,https://www.teztour.ee/tours/86e49732a62caef5bf6ac8b1fde6ac0b/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/243590/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_244012,2,GRECIAN FANTASIA RESORT,GRECIAN FANTASIA RESORT,GRECIAN FANTASIA RESORT,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Kreeka,00000,39.0,22.0,Rhodos-Kallithea/Faliraki,682 EUR,https://img.tezapi.eu/hotel/7016403/ph_DSC00557-3_3103_middle.jpg,https://www.teztour.ee/tours/e2775a709a49c502ee77595fe16e937d/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/244012/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_246851,5,AQUILA ATLANTIS HOTEL,AQUILA ATLANTIS HOTEL,AQUILA ATLANTIS HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,1540 EUR,https://img.tezapi.eu/hotel/7016720/low_2_6831_middle.jpg,https://www.teztour.ee/tours/fa5834301ab2ddca9ed33054f76081ee/cityId/3746/countryId/7067498/adults/2/hotel/246851/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/14/maxNights/17/currencyId/18864.et.html
GR_257481,3,JOHN MARY APARTMENTS,JOHN MARY APARTMENTS,JOHN MARY APARTMENTS,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,567 EUR,https://img.tezapi.eu/hotel/7017221/low_DSC_0091_1604_middle.jpg,https://www.teztour.ee/tours/82de11246e97370380b1532c2710325f/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/257481/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_260259,4,GRECOTEL CASA ADELE,GRECOTEL CASA ADELE,GRECOTEL CASA ADELE,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,740 EUR,https://img.tezapi.eu/hotel/7017881/01-In-the-Eastern-Part-of-the-Unique-Town-of-Rethymnon-nestle-Grand-Leoniki-Residence_72dpi_1813_middle.jpg,https://www.teztour.ee/tours/dafab4478b1ec7ca80d0d2bb85776f5c/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/260259/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_262193,4,PRINCESS SUN HOTEL & SPA,PRINCESS SUN HOTEL & SPA,PRINCESS SUN HOTEL & SPA,Rhodos-Lindos,Rhodos-Lindos,Rhodos-Lindos,Kreeka,00000,39.0,22.0,Rhodos-Lindos,1153 EUR,https://img.tezapi.eu/hotel/7019707/Princess_Sun_Hotel_548_middle.jpg,https://www.teztour.ee/tours/76b8294a512869e5c182ccdff4824968/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/262193/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
